exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e1,coscheduled,0,0,8,8,1788854336.532025846,1788854336.732410,1788854338.981331,1788854339.002554,1788854339.023995,1788854344.155032,1788854336.864523,1788854344.206415,1,1788854336.640262099,5,0,900,0
e1,baseline,0,0,8,8,1788854344.498008623,1788854344.691168,,1788854344.751024,1788854344.772664,1788854351.842265,,,1,1788854344.605807869,5,0,900,0
e1,baseline,0,0,8,9,1788854352.124210788,1788854352.317203,,1788854352.377105,1788854352.398760,1788854359.466902,,,1,1788854352.231417350,5,0,900,0
e1,coscheduled,0,0,8,9,1788854359.742173152,1788854359.944083,1788854362.192492,1788854362.213890,1788854362.235356,1788854367.366575,1788854360.076660,1788854367.416995,1,1788854359.849575301,5,0,900,0
e1,coscheduled,0,0,8,10,1788854367.710056061,1788854367.909964,1788854370.158035,1788854370.179361,1788854370.200846,1788854375.333023,1788854368.041692,1788854375.382911,1,1788854367.818148732,5,0,900,0
e1,baseline,0,0,8,10,1788854375.669471682,1788854375.862999,,1788854375.922941,1788854375.944601,1788854383.013319,,,1,1788854375.777053415,5,0,900,0
e1,baseline,7,0,8,1,1788854383.295404639,1788854383.490147,,1788854383.550293,1788854383.572044,1788854390.992318,,,1,1788854383.402546190,5,0,900,0
e1,coscheduled,7,0,8,1,1788854391.267082066,1788854391.467843,1788854394.067458,1788854394.088687,1788854394.110160,1788854399.242997,1788854391.600720,1788854399.293972,1,1788854391.374776028,5,0,900,0
e1,coscheduled,7,0,8,2,1788854399.587504242,1788854399.788310,1788854402.387190,1788854402.408607,1788854402.430120,1788854407.560899,1788854399.920370,1788854407.611229,1,1788854399.694663640,5,0,900,0
e1,baseline,7,0,8,2,1788854407.902958441,1788854408.096321,,1788854408.156486,1788854408.178221,1788854415.597883,,,1,1788854408.009999083,5,0,900,0
e1,baseline,7,0,8,3,1788854415.880556889,1788854416.074167,,1788854416.134460,1788854416.156267,1788854423.575763,,,1,1788854415.988279509,5,0,900,0
e1,coscheduled,7,0,8,3,1788854423.851280164,1788854424.053229,1788854426.653501,1788854426.674832,1788854426.696423,1788854431.828221,1788854424.186527,1788854431.879185,1,1788854423.959057401,5,0,900,0
e1,baseline,7,0,8,4,1788854432.177111953,1788854432.371305,,1788854432.431440,1788854432.453140,1788854439.873855,,,1,1788854432.284520371,5,0,900,0
e1,coscheduled,7,0,8,4,1788854440.149737502,1788854440.350399,1788854442.950925,1788854442.972257,1788854442.998194,1788854448.129618,1788854440.484174,1788854448.179229,1,1788854440.258003524,5,0,900,0
e1,coscheduled,7,0,8,5,1788854448.475331744,1788854448.675858,1788854451.275202,1788854451.297202,1788854451.318785,1788854456.450181,1788854448.808264,1788854456.501057,1,1788854448.585533435,5,0,900,0
e1,baseline,7,0,8,5,1788854456.791677713,1788854456.984913,,1788854457.045349,1788854457.067165,1788854464.486984,,,1,1788854456.899661859,5,0,900,0
e1,baseline,7,0,8,6,1788854464.768042391,1788854464.961174,,1788854465.021469,1788854465.043362,1788854472.462776,,,1,1788854464.875636384,5,0,900,0
e1,coscheduled,7,0,8,6,1788854472.738342664,1788854472.939322,1788854475.539883,1788854475.561258,1788854475.582936,1788854480.713736,1788854473.073270,1788854480.764573,1,1788854472.845631396,5,0,900,0
e1,baseline,7,0,8,7,1788854481.060711940,1788854481.254431,,1788854481.314574,1788854481.336335,1788854488.756030,,,1,1788854481.168747355,5,0,900,0
e1,coscheduled,7,0,8,7,1788854489.032954842,1788854489.233221,1788854491.834226,1788854491.855691,1788854491.877386,1788854497.008542,1788854489.367537,1788854497.059518,1,1788854489.141747000,5,0,900,0
e1,baseline,7,0,8,8,1788854497.353787277,1788854497.546592,,1788854497.606750,1788854497.628664,1788854505.048213,,,1,1788854497.464084565,5,0,900,0
